2019-01-01	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	2	3	2	1	1	3	0	1
2019-01-02	0	0	0	3	3	16	14	12	18	22	20	25	17	25	15	14	21	12	14	17	8	1	2	1
2019-01-03	0	3	1	3	5	13	18	19	16	26	31	26	21	20	17	17	17	14	19	15	9	1	2	1
2019-01-04	2	2	1	2	5	11	22	18	9	27	28	26	18	24	19	15	17	17	12	18	8	2	1	0
2019-01-05	1	0	1	0	3	4	9	8	5	14	10	14	9	12	11	8	9	10	10	11	4	1	0	0
2019-01-06	0	0	0	2	0	0	3	1	0	0	1	3	3	3	2	1	2	5	0	2	1	1	1	2
2019-01-07	2	0	1	0	9	13	30	23	29	26	43	28	27	24	20	24	20	20	23	13	10	1	2	2
2019-01-08	0	2	0	1	5	13	27	34	23	31	32	27	22	35	23	27	26	20	23	13	7	2	1	3
2019-01-09	1	3	1	3	6	22	27	21	34	32	48	42	20	25	28	37	24	29	20	16	9	3	1	1
2019-01-10	2	4	0	3	8	14	30	30	22	30	29	38	36	30	40	30	29	21	23	13	7	2	0	3
2019-01-11	1	1	0	3	8	16	32	36	20	36	34	24	34	38	34	19	25	28	18	18	10	6	1	2
2019-01-12	0	1	1	1	3	6	8	7	7	19	14	11	6	15	9	5	9	11	7	12	2	2	1	0
2019-01-13	0	1	0	1	0	1	2	1	0	1	0	2	2	5	1	1	2	3	0	2	1	1	0	0
2019-01-14	0	0	0	3	9	16	34	31	36	32	33	33	32	33	17	24	32	35	24	20	8	2	2	2
2019-01-15	1	2	0	3	9	19	30	34	36	38	49	52	31	30	35	31	29	26	15	16	8	1	2	0
2019-01-16	2	3	1	1	6	14	21	35	29	37	37	45	32	41	26	33	27	24	21	19	11	1	2	0
2019-01-17	0	2	0	4	5	13	32	35	29	20	50	35	43	34	30	26	29	22	23	14	9	4	2	2
2019-01-18	1	2	2	3	6	16	28	41	35	41	37	34	38	38	27	35	28	19	17	23	10	3	1	1
2019-01-19	0	1	2	1	4	7	9	8	14	12	19	9	8	13	15	10	11	9	9	13	3	1	2	0
2019-01-20	0	1	1	0	3	1	1	1	3	1	1	3	1	1	3	0	3	6	1	1	0	1	0	1
2019-01-21	0	0	1	4	8	11	32	35	28	33	34	31	29	34	17	24	31	29	22	18	13	4	1	1
2019-01-22	1	2	0	3	6	11	31	21	38	34	44	31	33	35	26	31	27	21	15	17	11	2	0	0
2019-01-23	2	3	1	5	3	18	25	31	35	27	27	41	32	25	29	26	30	25	18	18	6	2	1	0
2019-01-24	0	2	0	0	5	19	21	26	18	40	36	36	30	35	31	26	22	22	22	14	7	4	2	1
2019-01-25	1	1	2	2	4	14	23	19	27	40	44	24	22	39	22	30	20	21	16	14	10	1	0	2
2019-01-26	2	3	1	3	3	6	12	5	7	11	13	13	10	14	6	10	11	9	9	11	3	1	0	1
2019-01-27	0	0	2	0	1	1	1	0	2	1	1	2	1	1	1	0	2	3	1	0	0	2	1	0
2019-01-28	0	0	1	2	10	16	19	20	26	23	17	17	24	26	22	19	26	19	11	20	14	0	6	0
2019-01-29	3	1	1	5	9	17	24	29	28	20	28	37	33	29	23	25	27	18	23	15	11	1	1	0
2019-01-30	0	3	1	5	5	12	29	18	21	15	24	35	37	25	34	21	21	14	17	23	9	8	1	1
2019-01-31	3	2	1	6	6	16	26	24	19	32	34	44	23	32	28	26	23	21	19	14	10	3	1	1
2019-02-01	2	2	4	6	9	17	23	27	31	33	30	43	22	20	26	19	21	22	11	16	8	4	0	1
2019-02-02	0	1	1	1	4	7	11	3	10	10	13	12	8	10	8	8	9	7	11	12	2	1	1	0
2019-02-03	0	0	0	0	0	6	1	0	3	0	1	1	0	2	2	0	0	2	3	1	1	2	1	0
2019-02-04	0	0	0	3	4	13	29	30	24	20	31	31	27	29	31	23	22	19	19	20	7	1	0	1
2019-02-05	2	1	0	3	4	17	26	25	17	38	35	31	35	38	20	31	21	24	18	15	12	5	0	1
2019-02-06	0	2	0	1	2	15	36	29	29	35	29	51	34	33	23	27	27	26	28	21	8	2	0	2
2019-02-07	2	2	1	1	5	20	28	28	30	25	45	39	26	30	29	37	24	22	20	14	9	3	2	2
2019-02-08	1	2	2	1	5	17	29	39	32	37	35	40	33	35	18	31	26	24	18	18	9	5	3	2
2019-02-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019-02-10	0	0	0	1	1	2	2	1	3	2	0	6	0	1	1	0	4	3	1	3	0	1	1	0
2019-02-11	0	0	1	1	5	20	29	32	26	39	33	36	27	25	33	26	26	27	23	18	10	2	0	2
2019-02-12	0	2	0	4	5	19	30	36	40	44	36	33	38	34	39	28	30	25	20	15	7	2	2	2
2019-02-13	3	3	1	2	5	22	31	36	33	36	45	42	33	32	28	32	31	22	25	26	5	2	1	1
2019-02-14	1	0	0	2	7	15	38	29	27	32	41	36	34	41	36	36	34	22	28	19	7	5	0	2
2019-02-15	1	2	2	2	6	14	29	36	36	39	33	46	22	36	28	35	28	27	21	22	10	2	1	2
2019-02-16	2	4	1	1	2	5	10	8	10	16	13	19	6	10	4	8	18	17	14	19	4	0	0	0
2019-02-17	0	0	0	0	2	0	1	0	1	2	0	3	4	2	1	1	3	2	0	6	1	1	2	0
2019-02-18	1	0	0	4	5	14	30	26	28	27	41	38	32	29	31	24	26	12	15	21	9	2	1	2
2019-02-19	1	1	1	3	8	16	35	27	28	37	47	32	32	29	28	26	31	22	20	19	7	2	0	1
2019-02-20	0	5	1	3	5	16	36	33	29	48	37	44	29	32	36	27	28	16	22	16	11	1	0	2
2019-02-21	0	2	2	0	6	14	35	35	26	32	41	53	26	34	30	30	35	26	20	19	7	3	1	1
2019-02-22	0	2	2	2	4	16	24	33	29	39	30	42	21	31	29	23	27	25	21	16	11	1	0	1
2019-02-23	0	1	2	0	4	6	9	7	15	7	14	13	7	10	7	11	12	8	11	11	2	2	0	0
2019-02-24	0	0	1	0	2	2	1	0	3	1	2	3	2	2	3	2	4	2	1	3	0	2	1	1
2019-02-25	0	0	0	1	8	13	35	37	33	38	42	39	32	37	30	31	34	25	20	16	7	0	0	2
2019-02-26	0	4	0	1	10	15	30	36	34	38	51	41	29	42	39	43	34	18	28	14	9	1	2	1
2019-02-27	1	1	0	2	6	16	32	38	44	35	42	38	46	43	23	31	26	27	31	22	10	7	3	2
2019-02-28	2	2	1	1	8	16	37	42	44	36	39	42	39	34	38	34	32	23	19	16	9	4	4	0
2019-03-01	0	2	1	0	11	20	33	29	34	37	48	42	30	31	23	28	31	29	19	17	10	3	0	1
2019-03-02	1	2	2	1	2	4	13	7	7	6	12	17	9	13	8	9	10	8	9	8	3	1	0	0
2019-03-03	0	0	0	0	3	0	1	0	2	1	1	2	0	2	3	2	2	3	1	1	0	1	0	0
2019-03-04	0	0	0	0	4	12	22	25	14	27	35	28	34	46	55	49	49	32	37	23	15	7	1	5
2019-03-05	3	3	1	0	8	11	31	23	25	31	43	37	35	36	28	31	27	16	24	15	7	5	0	0
2019-03-06	0	3	1	4	5	13	31	41	30	41	37	41	47	32	27	29	31	23	22	16	6	3	1	1
2019-03-07	0	3	0	2	7	14	24	36	27	30	32	41	35	34	32	47	22	24	26	20	7	7	0	1
2019-03-08	0	1	2	2	8	18	28	31	29	41	38	44	31	36	15	39	45	26	30	22	4	4	2	0
2019-03-09	0	1	2	0	5	7	9	3	14	13	11	11	7	19	8	9	13	10	10	14	2	2	0	0
2019-03-10	0	0	0	1	1	0	0	1	1	17	0	2	4	5	4	2	5	2	1	0	1	0	1	0
2019-03-11	0	0	1	5	6	15	27	36	27	32	26	39	31	32	44	40	34	31	19	17	10	3	1	0
2019-03-12	1	2	0	2	6	19	38	34	32	40	45	38	36	37	40	39	39	23	24	14	8	1	0	0
2019-03-13	0	2	1	2	6	21	35	36	33	29	34	34	29	39	29	28	32	24	21	20	10	4	2	1
2019-03-14	0	3	2	2	4	20	25	27	37	35	41	45	30	41	28	32	28	25	25	19	6	1	1	1
